,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
0,,Tuesday May 18 16:52:03 +0000 2021,,,,0,1394697302728749068,,,,pl,,,,12,1.3946932268257649e+18,tvp_info,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[WIDEO]
@CzarnekP: Nasza młodzież musi wiedzieć, skąd Polska wzięła się w tym miejscu, w wyniku jakich zjawisk; stąd to rozdzielenie: na historię Polski i historię powszechną
#OCoChodzi #wieszwięcej   
https://t.co/j9T3n6cdeo",https://twitter.com/Bartek93794875/status/1394697302728749068,Sun 04 19 12:51:49 +0000 2020,1251855958575366150,False,"Bartekg #PiS

Wierny PiS, przeciw nowej Polskiej Targowicy. Młody konserwatysta, patriota i katolik chrześcijański.",506937,2670,2474,16,,Bartek Grzebalski 🇵🇱♥💪✝️,Bartek93794875,889206,,,False
1,,Wednesday May 19 11:31:01 +0000 2021,,,https://tvn24.pl/biznes/z-kraju/praca-zdalna-w-kodeksie-pracy-ruszaja-konsultacje-5098320,2,1394978896660078595,,,,pl,,False,,1,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Rozpoczynamy ustawowe konsultacje przepisów regulujących pracę zdalną - poinformowała w środę wiceminister rozwoju, pracy i technologii Iwona Michałek.

https://t.co/hnPZd1vUMZ",https://twitter.com/TVN24BiS/status/1394978896660078595,Thu 10 03 13:03:25 +0000 2013,1930622304,False,"Z pasją o świecie. Obserwuj także: @tvn24, @FaktyTVN.",1487,172417,93,500,Polska,TVN24 BiS,TVN24BiS,76779,,http://tvn24bis.pl/,True
2,,Tuesday May 18 17:46:25 +0000 2021,,,,0,1394710981184475136,,,,pl,,,,12,1.3946932268257649e+18,tvp_info,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[WIDEO]
@CzarnekP: Nasza młodzież musi wiedzieć, skąd Polska wzięła się w tym miejscu, w wyniku jakich zjawisk; stąd to rozdzielenie: na historię Polski i historię powszechną
#OCoChodzi #wieszwięcej   
https://t.co/j9T3n6cdeo",https://twitter.com/Magdaiks/status/1394710981184475136,Wed 08 26 11:01:03 +0000 2009,68951349,False,Bardziej na prawo ode mnie jest już tylko ściana.,398326,699,591,4,"Toruń, Polska",magda,Magdaiks,229241,,,False
3,,Tuesday May 18 19:49:34 +0000 2021,,,,0,1394741976038350849,,,,pl,,,,12,1.3946932268257649e+18,tvp_info,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","[WIDEO]
@CzarnekP: Nasza młodzież musi wiedzieć, skąd Polska wzięła się w tym miejscu, w wyniku jakich zjawisk; stąd to rozdzielenie: na historię Polski i historię powszechną
#OCoChodzi #wieszwięcej   
https://t.co/j9T3n6cdeo",https://twitter.com/KrzysztofKando1/status/1394741976038350849,Sun 04 07 08:03:46 +0000 2019,1114800920360042497,False,"Mąż, ojciec, patriota 🇵🇱, Hanys. #MuremZaPolskimMundurem 💪💪💪🇵🇱",181093,1824,1771,15,,Krzysztof 🇵🇱.,KrzysztofKando1,104046,,,False
4,,Wednesday May 19 05:13:22 +0000 2021,,,,0,1394883858701639684,,,,pl,,,1.3945521082639196e+18,4,1.394643671086211e+18,poprawnym2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Oczywiście bez związku z nauka zdalną. https://t.co/5ynMy2iXvU,https://twitter.com/KKStrojek/status/1394883858701639684,Sun 10 20 20:04:51 +0000 2013,1976222274,False,doceniam ludzi przyzwoitych i prawdomównych,34182,262,353,9,,Krzysztof Strojek,KKStrojek,47074,,,False
5,,Wednesday May 19 06:39:14 +0000 2021,,,"http://m.in http://niewidzialni.eu/Profilaktyka_po_pandemii,17989.html",0,1394905467760091137,,,,pl,,False,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Pandemia, praca zdalna i lockdowny spowodowały, że profilaktyka zdrowotna poszła w odstawkę. Po opanowaniu wirusa możemy spodziewać się dużych kolejek, https://t.co/3mgKsWROo2. do psychologa i psychiatry: https://t.co/DrJpgXc1nx",https://twitter.com/niewidzialni_eu/status/1394905467760091137,Sun 09 04 16:51:50 +0000 2016,772477280530628608,False,Portal nie tylko dla osób niepełnosprawnych,1,219,84,1,"Warszawa, Polska",Niewidzialni.eu,niewidzialni_eu,6866,,http://www.niewidzialni.eu,False
6,,Wednesday May 19 11:19:20 +0000 2021,,,https://zyciestolicy.com.pl/projekt-ustawy-regulujacy-prace-zdalna-doplata-za-prad-i-internet-to-czesc-z-propozycji/,2,1394975959833534464,,,,pl,,True,,2,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",Projekt ustawy regulujący pracę zdalną. Dopłata za prąd i internet to część z propozycji https://t.co/444dH9BjuB,https://twitter.com/ZStolicy/status/1394975959833534464,Tue 06 26 19:52:39 +0000 2018,1011698777223303168,False,#Warszawa #Informacje #Ciekawostki #Trzaskowski - wszystko co ciekawe w Warszawie i nie tylko!,7657,10734,2248,43,Warszawa,Życie Stolicy - Warszawa i nie tylko!,ZStolicy,23548,,http://www.zyciestolicy.com.pl,False
7,,Wednesday May 19 12:26:41 +0000 2021,,,,1,1394992908474978310,wrozkaszamponu,1.394992545718063e+18,8.033428056996127e+17,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@daoying_king zdalna, dosyć w miarę elastyczne godziny, polegająca na odpowiadaniu na maile (spory na paypalu), no i płacą dobrze XD (25zł netto/h)",https://twitter.com/iwantaxiong/status/1394992908474978310,Thu 02 01 15:32:01 +0000 2018,959086946676076545,False,"無為; Acid Angel frOm Asia 
♍ LOONA/OnlyOneOf/tripleS https://t.co/PmkDV2FH81
he/him @schodynashitang",41681,520,1604,5,Beijing,acid yOuwei frOm asia,iwantaxiong,100189,,,False
8,,Wednesday May 19 10:37:39 +0000 2021,,,"http://www.rmf24.pl/ekonomia/news-praca-zdalna-po-epidemii-szef-bedzie-musial-zaplacic-za-prad,nId,5241995",4,1394965467001937923,,,,pl,,False,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Praca zdalna po epidemii? Szef będzie musiał zapłacić za prąd i internet https://t.co/JCCXHNIHcA,https://twitter.com/RMF24pl/status/1394965467001937923,Sun 01 24 08:15:29 +0000 2010,107946389,False,"Najświeższe informacje, aktualności, wydarzenia, opinie. Gorąca Linia RMF FM 📞 600 700 800 lub 📧 fakty@rmf.fm",6210,252595,1132,614,,Fakty RMF FM,RMF24pl,196258,,http://www.rmf24.pl,False
9,,Wednesday May 19 05:30:07 +0000 2021,UE pracazdalna,,"https://www.prawo.pl/kadry/praca-zdalna-w-epidemii-w-ue,508333.html",0,1394888074686078978,,,,pl,,False,,0,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Pandemia sprawiła, że biura opustoszały, a miejscem pracy stał się dom. Z danych  @EU_Eurostat wynika, że w 2020 w #UE 12,3% osób pomiędzy 15 a 64 pracowało z domu. Najwięcej w Finlandii, bo ponad 25%, w Polsce 8,9% (poniżej unijnej średniej). #pracazdalna https://t.co/vyyu3ZPquf",https://twitter.com/PrawoPLserwis/status/1394888074686078978,Thu 06 07 09:21:08 +0000 2018,1004654480485429248,False,"Oficjalny profil serwisu internetowego https://t.co/vaWAdWwf1W Całe prawo w jednym miejscu. Aktualności, opinie, orzeczenia.",2058,4438,455,29,"ul. Przyokopowa 33, Warszawa",Prawo.pl,PrawoPLserwis,13973,,http://Prawo.pl,False
